"Data S1. Descriptions of the location, keystone characteristics, and community response for each study included.  ",,,,,,,,,,,,
,,,,,,,,,,,,
id,Latin name of keystone species,Common name of keystone species,Citation,Location,Keystone Role,Human Disturbance Context,Trophic level (simplified),Community Response Category,Body mass (g),Effect Size (RR),Variance of effect size,Data Extraction & Comparisons
1,Alosa pseudohar-engus,Alewife,Post et al. 2008; Ecology,"Connecticut, USA",consumer,Indirect removal,low,Life history,200,1.7,0.8,Crustacean prey length in low and high levels of alewife presence from Fig. 3.
2,Alosa pseudohar-engus,Alewife,Brooks and Dobson 1965; Science,"Northern Connecticut, USA",consumer,Indirect removal,low,Life history,200,0.18,0.8,Plankton size with and without alewives in natural lakes  (data from Figure 4).
3,Ambystoma talpoideum,Mole Salamander,Fauth 1999; Ecology Letters,"South Carolina, USA",consumer,Indirect removal,mid,Biodiversity,17,0.3,1.33,Mean anuran species richness in Urodela presence and absence with data from Table 1.
4,Ammodytes marinus,Lesser Sandeel,"Furness and Tasker 2000, Marine Ecology","Shetland, UK",prey,Indirect removal,low,Life history,1.97,0.73,1.33,Mean seabird breeding success in low and high sandeel abundance with data from Table 4.
5,Ammodytes tobianus,Lesser Sand Eel,Frederiksen et al. 2006; Journal of Animal Ecology,North Sea,prey,Indirect removal,low,Life history,2.97,0.2,1.33,Guillemot breeding success (metric?) in high (historical) and low (current)  sandeel abundance from Figure4. 
6,Balaenoptera musculus,Blue Whale,Nicol et al. 2010; Fish and Fisheries,Southern Ocean,modifier,Indirect removal,high,Chemical and energy cycling,1.90E+08,0.84,0.58,"Iron deposition (metric) in high (historical) and low (current) gradients of whales from Table 1. Historical numbers of whales were used as our ""high"" whale presence, and current numbers were used as ""low"" whale presence."
7,Balaenoptera musculus brevicauda,Pygmy Whale,Nicol et al. 2010; Fish and Fisheries,Southern Ocean,modifier,Data Deficient,high,Chemical and energy cycling,50000000,0.34,0.11,"Iron deposition (metric) in high and low gradients of whales from Table 1. Historical numbers of whales were used as our ""high"" whale presence, and current numbers were used as ""low"" whale presence."
8,Balaenoptera physalus,Fin Whale,Nicol et al. 2010; Fish and Fisheries,Southern Ocean,modifier,Indirect removal,high,Chemical and energy cycling,80000000,0.11,0.11,Amount of iron deposition in high (historic) and low (current) gradients of whales from Table 1. 
9,Balistapus undulatus,Red-lined triggerfish,McClanahan 2000; Biological Conservation,MPAs off East Africa,consumer,Data Deficient,low,Abundance,84.74,0.59,0.111,Urchin wet biomass inside (high) and outside (low) marine protected areas from Figure1
10,Bettongia lesueur,Burrowing bettong,James and Eldridge 2007; Biological Conservation,South Australia,modifier,Indirect removal,low,Chemical and energy cycling,1500,2.77,1.33,Concentrations of labile carbon (metric) in the soil in bettong present vs absent areas from Figure 3.
11,Bettongia lesueur,Burrowing bettong,Noble et al. 2006; The Rangeland Journal,Eastern Australia,modifier,Indirect removal,low,Abundance,1500,0.6,0.83,Brush (Austrostipa) dry biomass near and far away from burring bettong burrows from Figure7.
12,Canis Lupus,Gray Wolf,Miller et al. 2012; Canadian Journal of Zoology,"Yellowstone NP, USA",consumer,Direct removal,high,Behavioral,30750,3.02,1.92,Coyote activity (via scat presence) in a gradient away from wolf dens from Figure 1.
13,Canis Lupus,Gray Wolf,Mclaren and Peterson 1994; Science,"Isle Royale, USA",consumer,Direct removal,high,Abundance,30750,0.88,1.29,Moose abundance in contexts of high (historical) and low (current) wolf abundance from Figure 3. 
14,Canis Lupus,Gray Wolf,Mclaren and Peterson 1994; Science,"Isle Royale, USA",consumer,Direct removal,high,Life history,30750,0.72,0.16,Balsam fir ring-width in high (historic) and low (current) wolf abundance from Figure 3.
15,Carcharhinus leucas,Bull Shark,Myers et al. 2007; Science,"Off the shores of North Carolina, USA",consumer,Indirect removal,high,Abundance,316500,1.03,0.16,Average abundance of elasmobranch mesopredators in a high (historic and low (current) shark presence from Fig. 1. 
16,Carcharhinus limbatus,Blacktip Shark,Myers et al. 2007; Science,"Off the shores of North Carolina, USA",consumer,Direct removal,high,Abundance,122800,2.32,0.1,Average presence  of elasmobranch mesopredators  in a high (historic and low (current)  shark presence from Fig. 1.
